alsa-utils 1.2.14-1
apache-tools 2.4.65-1
base 3-2
base-devel 1-2
blueman 2.4.6-1
bluez 5.83-1
bluez-utils 5.83-1
brave-bin 1:1.81.135-1
brightnessctl 0.5.1-3
btop 1.4.4-1
code 1.103.1-1
discord 1:0.0.104-1
docker 1:28.3.3-1
efibootmgr 18-3
fuse-overlayfs 1.15-1
git 2.50.1-3
google-chrome 139.0.7258.127-1
grub 2:2.12.r292.g73d1c959-1
grub-customizer 5.2.5-2
hyprland 0.50.1-1
hyprpaper 0.7.5-3
kitty 0.42.2-1
linux 6.16.arch2-1
linux-firmware 20250808-1
ly 1.1.2-1
man-db 2.13.1-1
man-pages 6.15-1
mpv 1:0.40.0-5
neofetch 7.1.0-2
neovim 0.11.3-1
network-manager-applet 1.36.0-1
networkmanager 1.54.0-1
obs-studio 31.1.2-1
openssh 10.0p1-4
pavucontrol 1:6.1-1
pipewire 1:1.4.7-1
pipewire-alsa 1:1.4.7-1
pipewire-audio 1:1.4.7-1
pipewire-jack 1:1.4.7-1
pipewire-pulse 1:1.4.7-1
pnpm 10.14.0-1
reaper 7.43-1
spotify-launcher 0.6.3-2
starship 1.23.0-1
swaylock-effects 1.7.0.0-4
texinfo 7.2-1
thunar 4.20.4-1
ttf-jetbrains-mono-nerd 3.4.0-1
unzip 6.0-23
usbutils 018-1
waybar 0.14.0-1
wget 1.25.0-2
wireplumber 0.5.10-1
wofi 1.5.1-1
xclip 0.13-6
xdg-desktop-portal 1.20.3-1
xdg-desktop-portal-hyprland 1.3.10-1
xdg-desktop-portal-wlr 0.7.1-1
yay 12.5.0-1
yay-debug 12.5.0-1
zip 3.0-11
